candidate_id,source_kind,source_name,source_url,registration_urls,title_hint,provider_hint,venue_hint,postal_hint,area_hints,date_hints,time_hints,cost_hints,age_hints,topic_hints,excerpt_or_notes,missing_for_ckb,priority_score,review_decision,reviewed_at,reviewed_by,review_notes
SOC-d587eafb4b77,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1160,https://t.me/bishancc/1160,🌻 FREE Health Screening for Seniors! 🌻,Bishan Connects,,,Bishan,22 August 2026,9.00am | 1.00pm,FREE,aged 60,arts | sport | workshops | youth | community,"🌻 FREE Health Screening for Seniors! 🌻 Your health matters, and we're here to help! 💙 If you're aged 60 and above, join us for HealthBridge 2026 and enjoy a FREE health screening with expert healthcare partners. 📅 Date: Saturday, 22 August 2026 🕘 Time: 9.00am – 1.00pm 📍 Venue: Bi",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
WEB-bishan-sport-centre,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/bishan-sport-centre,https://activesg.gov.sg/passes,ActiveGYM session at Bishan Sport Centre,Sport Singapore (ActiveSG),,579783,Bishan,,Daily 7am-10pm,Student entry rate requires confirmation,aged 12 and above,gym | fitness | self-guided,Official facility page lists Bishan Sport Centre at 5 Bishan Street 14 as open daily 7 am–10 pm with no current closure announcement; gym eligibility and rates require confirmation.,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
WEB-jw-gym,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,https://activesg.gov.sg/passes,ActiveGYM session at Jurong West Sport Centre,Sport Singapore (ActiveSG),,648965,Jurong West,,Daily facility hours require confirmation,Student entry rate requires confirmation,aged 12 and above,gym | fitness | self-guided,"Official facility and pass pages provide a Jurong West gym option; eligibility, student rate, opening hours and current availability require final confirmation.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
WEB-jw-swim,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,https://activesg.gov.sg/passes,Recreational swim at Jurong West Swimming Complex,Sport Singapore (ActiveSG),,648965,Jurong West,,Operating hours require confirmation,Child entry rate requires confirmation,ages 1-17,swimming | sport | self-guided,Official facility and pass pages provide recreational swimming at Jurong West; current child entry rates and operating hours require final confirmation.,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-018834cf70a1,public_telegram_candidate,Gek Poh Central Residents' Network,https://t.me/gekpohcentral/864,https://t.me/gekpohcentral/864 | https://go.gov.sg/jsgp260926,🌕 Jurong Spring - Gek Poh Mid-Autumn Festival 2026 🏮,Gek Poh Central Residents' Network,,260926,Jurong West,26 Sep 2026,6.00pm | 10.00pm | 5.30pm,$2,,arts | sport | workshops | community,"🌕 Jurong Spring - Gek Poh Mid-Autumn Festival 2026 🏮 Join us for an exciting Mid-Autumn night filled with magic, game booths, stage performances, a lucky draw, and our signature Lantern Procession with LED Lions & Dragons! 🗓 26 Sep 2026 (Sat) | 6.00pm – 10.00pm 📍 Jurong Spring CC",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
SOC-c35413ee5e05,public_telegram_candidate,Gek Poh Central Residents' Network,https://t.me/gekpohcentral/842,http://go.gov.sg/govbenefits-gstv | https://t.me/gekpohcentral/842,📢 PSA: GSTV – Cash payout will be disbursed from 7 August 2026.,Gek Poh Central Residents' Network,,,Jurong West,7 August 2026,,$850 | $450,aged 65,arts | sport | workshops | community,📢 PSA: GSTV – Cash payout will be disbursed from 7 August 2026. Eligible Singaporeans will receive up to $850 that will help with daily living expenses. Eligible seniors aged 65 and above will also receive a GSTV – MediSave top-up of up to $450. 🔎 Check your eligibility and find ,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
SOC-d18a467f7098,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3952,https://t.me/oneboonlay/3952 | https://go.gov.sg/bl-wcgrc-merku-udayam-2026,Boon Lay CC IAEC presents:,OneBoonLay,,609335,Jurong West,3 October 2026,2.00pm | 6.00pm | 1.45pm | 1:15pm,$5,,community | arts | performances | workshops | youth,"Boon Lay CC IAEC presents: Merku Udayam 2026 – An Indian Cultural Explosion! 🎉✨ Come join us for an exciting afternoon filled with vibrant cultural performances, delicious packed food, fun games and activities, flea market shopping, snacks and a lucky draw! 💃🎶🛍️🍴🎁 📅 Saturday, 3 O",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
SOC-d892880c2119,public_telegram_candidate,NParks Buzz,https://t.me/nparksbuzz/2602,http://go.gov.sg/paws-in-the-city | https://t.me/nparksbuzz/2602,Paws in the City is tomorrow! 🐾,NParks Buzz,,078881,Jurong West | Punggol | Bishan,29 August 2026,11am | 8pm,$10 | free,,nature | walking | gardening | volunteering,Paws in the City is tomorrow! 🐾 Here's what's waiting for you: 🐾 Adoption Drives — Meet animals from AVS and animal groups looking for their forever homes 🛍️ Pet Marketplace — Treat your furry friend (or yourself) to something special 🐕 Chat with an AVS Dog Trainer — Get practica,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
SOC-f584e7282183,public_telegram_candidate,BAGUS Together,https://t.me/bagustogether/650,https://t.me/bagustogether/650 | https://go.gov.sg/nyc-yag-osg | https://go.gov.sg/yag-nyc-factsheet,🚀 Ready to take action to greater heights?,BAGUS Together,,,Punggol,31 October 2026 | 25 July | 31 August 2026,,$70,youths aged 15 to 35,youth | coding | volunteering | cycling | community,"🚀 Ready to take action to greater heights? The Youth Action Grant (YAG) by National Youth Council is here for you! Successful applicants may be awarded with funding of up to $70,000 to bring your groundup initiative, a community project, or a brilliant idea to life! This is YOUR ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
WEB-bishan-swim,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/swimming-pools,https://activesg.gov.sg/passes,Recreational swim at Bishan Swimming Complex,Sport Singapore (ActiveSG),,579778,Bishan,,,Current entry rate requires confirmation,all ages,swimming | sport | self-guided,"Official ActiveSG pool directory lists Bishan Swimming Complex at 1 Bishan Street 14; current rates, opening hours and closures require confirmation.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,10,,,,
SOC-088d11fc156e,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/984,https://t.me/TamanJurongCC/984 | http://go.gov.sg/merku2026-tj | http://go.gov.sg/merku2026-flea,🌟Merku Udayam 2026🌟,Taman Jurong Kakis,,,Jurong West,3 October 2026,2 pm | 6 pm,,all ages,community | performances | workshops | wellbeing,"🌟Merku Udayam 2026🌟 Immerse yourself in the vibrant spirit of our multicultural community! Enjoy captivating Indian cultural performances, traditional games, interactive fringe activities, attractive lucky draw prizes, and many more fun-filled experiences for all ages. Bring your",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-15eeb6e194a0,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/965,https://t.me/TamanJurongCC/965 | https://go.gov.sg/tjcsn-lts11,🌊 Our Learn to Swim program is now open for registration!,Taman Jurong Kakis,,,Jurong West,31 July 2026 | 16 October 2026,5.15pm | 6.00pm,,age 2 years old,community | performances | workshops | wellbeing,🌊 Our Learn to Swim program is now open for registration! Register Now: https://go.gov.sg/tjcsn-lts11 Date: 31 July 2026 to 16 October 2026 (Every Friday) Time / Age: 5.15pm - 5 yrs old & above (45 minutes) 6.00pm - 5 yrs old & above (45 minutes) Venue: ActiveSG Park @ Jurong Lak,verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-1834a43eb171,public_telegram_candidate,OPEN JIO,https://t.me/OpenJio/2034,https://t.me/OpenJio/2034 | http://tiny.cc/kitaplayback15aug,Seasons of…”: A Playback Theatre Performance by Kaya Toast Playback Group and [X] by Kita,OPEN JIO,,,,15 Aug 2026,7.30pm | 9pm,$5,age 18-35,youth | books | arts | community | wellbeing,"Seasons of…”: A Playback Theatre Performance by Kaya Toast Playback Group and [X] by Kita What does the different seasons mean? Seasons of choosing, letting go, of being and becoming. Seasons of love, of silence, and of waiting, seasons of coming and going, and of being enough✨ P",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-25186fe2adf3,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1158,https://t.me/bishancc/1158,🏓 Ready to Pick Up Pickleball?,Bishan Connects,,,Bishan,2 Oct | 20 Nov 2026 | 27 Nov | 18 Dec 2026,10am | 11:30am | 1pm,,aged 60–75,arts | sport | workshops | youth | community,🏓 Ready to Pick Up Pickleball? Calling all seniors aged 60–75! Join our Pickleball Clinic for Seniors and learn the basics of this fun and easy-to-pick-up sport in a friendly environment. No prior experience needed! 😊 📅 Clinic Sessions: 2 Oct – 20 Nov 2026 (8 sessions) 🏓 Practice,verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-482f90d16d60,public_telegram_candidate,OPEN JIO,https://t.me/OpenJio/2042,https://t.me/OpenJio/2042 | http://tiny.cc/thesamepage30aug,🇸🇬🎲 Page Two: Singapore — Lived Realities,OPEN JIO,,,,30 August 2026,6pm,Free,aged 18,youth | books | arts | community | wellbeing,"🇸🇬🎲 Page Two: Singapore — Lived Realities What does it mean to live, grow and belong in Singapore? This National Day season, The Same Page invites you to explore that question through Singapore-made board games, stories and conversations with others from different backgrounds. Be",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-55c6003b15dc,public_telegram_candidate,Gek Poh Central Residents' Network,https://t.me/gekpohcentral/854,https://for.sg/nuhs-fs-interest | https://t.me/gekpohcentral/854,"SEE, HEAR & EAT Better!",Gek Poh Central Residents' Network,,,Jurong West,22 Aug 2026,9am | 1pm,,aged 60,arts | sport | workshops | community,"SEE, HEAR & EAT Better! NTUC Health & NUHS will be having a Functional screening for seniors aged 60 and above. Venue: Blk 751 AAC (Gek Poh) Date: 22 Aug 2026 Time: 9am - 1pm Sign up at https://for.sg/nuhs-fs-interest",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-7b16ed801496,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1169,https://t.me/bishancc/1169,💰✨ Money Smarts Start Young!,Bishan Connects,,,Bishan,29 August 2026,10am | 12pm,,aged 9 years old,arts | sport | workshops | youth | community,"💰✨ Money Smarts Start Young! How well does your child understand money? Give them a head start with our Financial Literacy Workshop by Project SharkFin! 🐷💡 Designed for primary school children aged 9 years old & above (P3–P6), this fun and engaging workshop will cover: ✅ Needs vs",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-86b8aef983a5,public_telegram_candidate,OPEN JIO,https://t.me/OpenJio/2060,https://t.me/OpenJio/2060 | http://tiny.cc/flourishingsoar,Flourishing 3.0 by SOAR SG,OPEN JIO,,,,19 Sept | 28 Nov 2026 | 12 Sept,10am | 12pm,$60 | $30,youths (aged 15-24,youth | books | arts | community | wellbeing,"Flourishing 3.0 by SOAR SG What can we do to thrive, build meaningful connections, and ground ourselves through life's transitions?🤔 Flourishing 3.0 is an evidence-informed mental health workshops rooted in the Recovery College model. Built around co-production, this workshops br",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-8b21de84d1ff,public_telegram_candidate,OPEN JIO,https://t.me/OpenJio/2061,http://tiny.cc/rhrnyouth | http://tiny.cc/rhrnadult | https://t.me/OpenJio/2061,"Rights Here, Right Now!",OPEN JIO,,,,4 September | 12 September,3.00pm | 5.00pm | 10.30am | 12.30pm,FOC,Youths (Aged 13-21,youth | books | arts | community | wellbeing,"Rights Here, Right Now! Want to learn more about children's rights? 💪🏻This event’s premise believes that every child has rights. The right to be heard and to feel safe enough to speak up🤝 Through games, activities and discussion, the events will explore: ✨ What children and youth",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-abf25af017b6,public_telegram_candidate,BAGUS Together,https://t.me/bagustogether/644,https://t.me/bagustogether/644 | https://go.gov.sg/sgyouthforum-2026,📣 Curious to learn more about BAGUS Together and NVPC?,BAGUS Together,,,Punggol,25 Jul | 24 July,10.30am,,all ages,youth | coding | volunteering | cycling | community,"📣 Curious to learn more about BAGUS Together and NVPC? Come visit us at the SG Youth Forum this Saturday! 📅 Sat, 25 Jul ⌚️ From 10.30am 📍 Suntec Convention Centre, Engage Theatre 2 (Halls 401–402) Drop by our Marketplace booth to chat with us. Find out how we can support your gro",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-d5011f31723c,public_telegram_candidate,Home of Team Nila,https://t.me/teamnila/1000,https://t.me/teamnila/1000 | https://go.gov.sg/activesgcelebrates-bedok-tn | https://go.gov.sg/activesgcelebrates-jurongeast-tn | https://go.gov.sg/activesgcelebrates-woodlands-tn | https://go.gov.sg/activesgcelebrates-hougang-tn | https://go.gov.sg/activesgcelebrates-queenstown-tn,[Volunteer Opportunity],Home of Team Nila,,,Punggol,8 Aug,7am | 2pm | 3pm | 9pm,,all ages,sport | volunteering | youth,"[Volunteer Opportunity] 🎪 ActiveSG Celebrates! In celebration of Singapore's National Day, ActiveSG will be organising 5 Sport Carnivals held across 5 Sport Centres. These carnivals are packed with a wide variety of fun-filled sports and recreational activities suitable for parti",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
WEB-bishan-nature-walk,public_web_candidate,NParks,https://www.nparks.gov.sg/visit/parks/bishan-ang-mo-kio-park/activities,,Self-guided nature walk at Bishan-Ang Mo Kio Park,NParks,,,Bishan,,About 2 hours or 1 hour per area,Free of charge,family-oriented,nature | walking | photography | self-guided,"Official NParks guide describes a free, easy, self-guided 6 km walk through the Pond Gardens and River Plains, with shorter one-area options.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
WEB-jurong-central-board-games,public_web_candidate,NParks,https://www.nparks.gov.sg/visit/parks/park-detail/jurong-central-park,,Life-sized board games at Jurong Central Park,NParks,,,Jurong West,,Open 24 hours,Free public park,whole family,games | park | chill | self-guided,Official park page lists a Ludo Garden and life-sized board-game features; the park is open 24 hours near Boon Lay MRT.,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
WEB-luggage-market,public_web_candidate,The Luggage Market,https://www.booktlm.com/,,Browse The Luggage Market at Aperia Mall,The Luggage Market,,339511,Kallang,,Sundays 11am-6pm,Free visitor admission,all ages,thrifting | sustainable fashion | market | self-guided,"The organiser lists a weekly Sunday thrift market at Aperia Mall Level 1, 12 Kallang Avenue, with more than 60 booths and secondhand fashion for visitors to browse.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,9,,,,
SOC-02f94b8b0b51,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/998,https://t.me/TamanJurongCC/998,Looking for job opportunities closer to home? 💼🏠,Taman Jurong Kakis,,649882,Jurong West,4 September 2026,10.00am | 4.00pm,,,community | performances | workshops | wellbeing,"Looking for job opportunities closer to home? 💼🏠 Join us at the South West Community Job Fair @ Boon Lay CC and meet employers face-to-face! 📅 3–4 September 2026 (Thursday and Friday) ⏰ 10.00am–4.00pm 📍 Boon Lay Community Club, Level 1 Multi-Purpose Hall 10 Boon Lay Place, Singap",verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-033699af6f53,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/1000,https://t.me/TamanJurongCC/1000 | http://go.gov.sg/tjdearyou,"🎬 Due to overwhelming response, we are adding an additional screening of Dear You 给阿嫲的情书!",Taman Jurong Kakis,,,Jurong West,5 September 2026,1.30pm | 5.00pm,$3,,community | performances | workshops | wellbeing,"🎬 Due to overwhelming response, we are adding an additional screening of Dear You 给阿嫲的情书! Catch the hit Teochew movie with us at Golden Village Jurong Point! 📅 Saturday, 5 September 2026 🕑 1.30pm – 5.00pm 📍 Gather at Taman Jurong CC Transport will be provided from Taman Jurong CC",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-1018b7f59063,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3962,https://t.me/oneboonlay/3962,🌱 Boon Lay AWN Outing: Farm Tour! 🥦✨,OneBoonLay,,,Jurong West,5 September 2026,8:00 AM | 1:00 PM,$3.00,,community | arts | performances | workshops | youth,🌱 Boon Lay AWN Outing: Farm Tour! 🥦✨ ​Join us for a fun morning out exploring Kok Fah Technology Farm and World Farm @ Sungei Tengah! ​📅 Date: 5 September 2026 (Saturday) ⏰ Time: 8:00 AM – 1:00 PM 💵 Fee: $3.00 per participant (includes 2-way transportation) Seniors 50 years old a,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-123ceee9a6b4,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1149,https://t.me/bishancc/1149 | https://go.gov.sg/sewshiok23aug,"🪡 Sew Shiok! Lai Lai, Let’s Sew Together! 🧵 with Repair Kopitiam",Bishan Connects,,,Bishan,23 August 2026,2:00 PM | 4:00 PM | 01.30PM,FREE,,arts | sport | workshops | youth | community,"🪡 Sew Shiok! Lai Lai, Let’s Sew Together! 🧵 with Repair Kopitiam Join us for an exciting, hands-on afternoon to connect with neighbors, learn practical skills, and embrace sustainability! 💚✨ 📍 Event Details: 🗓️ Date: Sunday, 23 August 2026 ⏰ Time: 2:00 PM – 4:00 PM, Registration ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-1317a18b4cf5,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/999,https://t.me/TamanJurongCC/999 | https://go.gov.sg/renewalofvows26,💕 Renewal of Vows 2026 – Our Love Journey 💕,Taman Jurong Kakis,,,Jurong West,20 September 2026,5.00pm | 8.00pm,$15 | $20,,community | performances | workshops | wellbeing,"💕 Renewal of Vows 2026 – Our Love Journey 💕 Celebrate love and reaffirm your commitment to your spouse at a special evening filled with music, dance, fun love quizzes and exciting activities! 💍❤️ 📅 Sunday, 20 September 2026 ⏰ 5.00pm – 8.00pm 📍 Republic of Singapore Yacht Club 🎟️ ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-13668eddbdb3,public_telegram_candidate,OPEN JIO,https://t.me/OpenJio/2064,https://t.me/OpenJio/2064 | http://tiny.cc/urbankinship24sept,"Deforestation, urbanisation and urban birds: An ecological approach by Urban Birds Initiative SG (UBISG)",OPEN JIO,,339407,,24 September 2026,7pm | 9pm,FOC,,youth | books | arts | community | wellbeing,"Deforestation, urbanisation and urban birds: An ecological approach by Urban Birds Initiative SG (UBISG) How may an understanding of ecology better inform urban planning and bird management? How can we find new ways to relate to birds?🦆 Since 1819, deforestation for agriculture a",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
SOC-18a92663f872,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3931,https://t.me/oneboonlay/3931 | https://go.gov.sg/ccmcmidautumn2026,You're Invited to Boon Lay Mid-Autumn Festival 2026! 🏮🌕,OneBoonLay,,,Jurong West,27 September 2026,6.30pm | 9.30pm,$4,,community | arts | performances | workshops | youth,"You're Invited to Boon Lay Mid-Autumn Festival 2026! 🏮🌕 Celebrate the magic of the Mid-Autumn Festival with an evening filled with joy, laughter, and community spirit! ✨ Join us for: 🎨 Fun carnival games and activities 🏮 Beautiful lantern displays 🎁 Exciting prizes and giveaways ",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,8,,,,
