listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
FTP-lakeside-primary-school-field,Weekend free play at Lakeside Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/lakeside-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Lakeside Primary School Field,618310,Jurong West,Lakeside,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
WEB-jw-swim,Recreational swim at Jurong West Swimming Complex,Sport Singapore,activesg,https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,2026-09-02,respoopu,verified,1.00,0,0,Jurong West Swimming Complex,648965,Jurong West,Pioneer,1,17,yes,yes,yes,taster,drop_in,,,,,,,Daily 7am-10pm; check live closures before travel,sporty|chill,yes,Official facility and ActiveSG rates checked; conservative weekend child rate used.,yes,yes
WEB-jw-gym,ActiveGYM session at Jurong West Sport Centre,Sport Singapore,activesg,https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,2026-09-02,respoopu,verified,1.50,0,0,Jurong West ActiveSG Gym,648965,Jurong West,Pioneer,12,120,yes,yes,yes,taster,drop_in,,,,,,,Daily 7am-10pm; check live closures before travel,sporty,yes,Official facility and ActiveSG student rates checked.,yes,yes
WEB-jurong-central-board-games,Life-sized board games at Jurong Central Park,National Parks Board,informal,https://www.nparks.gov.sg/visit/parks/park-detail/jurong-central-park,2026-09-02,respoopu,verified,0,0,0,Jurong Central Park,649849,Jurong West,Boon Lay,0,120,yes,yes,yes,taster,drop_in,,,,,,,Open 24 hours,chill|explorative,no,Official NParks page checked; free life-sized games and 24-hour park access confirmed. Postal identifies the park's public McDonald's-side entry point.,yes,yes
WEB-jw-park-connector-walk,Walk or jog the Jurong West Park Connector,National Parks Board,informal,https://pcn.nparks.gov.sg/jurong-west-pc/,2026-09-02,respoopu,verified,0,0,0,Jurong West Park Connector at Jurong Central Park,649849,Jurong West,Boon Lay,0,120,yes,yes,yes,taster,drop_in,,,,,,,Public route; lighting operates 7pm-7am,sporty|explorative,no,Official NParks route checked; free 2.2km walking/jogging route and lit hours confirmed. Postal identifies the Jurong Central Park start point.,yes,yes
WEB-jw-table-tennis,Table tennis at Jurong West Sport Centre,Sport Singapore,activesg,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues,2026-09-02,respoopu,verified,3.20,0,0,Jurong West Sports Hall,648965,Jurong West,Pioneer,0,120,yes,yes,yes,taster,drop_in,,,,,,,Book a live table slot through ActiveSG,sporty|chill,yes,"Official ActiveSG multi-venue table-tennis booking page checked; Jurong West Sports Hall appears as a selectable venue, and the citizen/PR peak table rate was used conservatively.",yes,yes
NLB-5971096,Sewing Starter Session at Punggol Library MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971096,2026-09-02,respoopu,verified,0,0,0,"Punggol Library MakeIT, Level 4",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-12T15:00,,artistic|explorative,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5972408,Board Games B.F.F.,National Library Board,third_space,https://nlb.libcal.com/event/5972408,2026-09-02,respoopu,verified,0,0,0,"Punggol Library Programme Room, Level 5",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-28T14:00,,chill,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5972410,SDO Digital Literacy,National Library Board,third_space,https://nlb.libcal.com/event/5972410,2026-09-02,respoopu,verified,0,0,0,"Punggol Library Programme Room, Level 5",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-15T10:00,,explorative,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5972258,"Read Together, Grow Together",National Library Board,third_space,https://nlb.libcal.com/event/5972258,2026-09-02,respoopu,verified,0,0,0,"Punggol Library Teenspace, Level 3",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-19T13:00,,chill|artistic,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5971444,Access Bazaar,National Library Board,third_space,https://nlb.libcal.com/event/5971444,2026-09-02,respoopu,verified,0,0,0,"Punggol Library Atrium, Level 1",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-06T10:00,,explorative|chill,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5971694,Shape Videos That Stick at Punggol Library MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971694,2026-09-02,respoopu,verified,0,0,0,"Punggol Library MakeIT, Level 4",828629,Punggol,Punggol,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-25T17:30,,artistic|explorative,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
FTP-waterway-primary-school-field,Weekend free play at Waterway Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/waterway-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Waterway Primary School Field,828802,Punggol,Punggol,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
FTP-punggol-cove-primary-school-field,Weekend free play at Punggol Cove Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/punggol-cove-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Punggol Cove Primary School Field,828674,Punggol,Punggol,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
FTP-northshore-primary-school-field,Weekend free play at Northshore Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/northshore-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Northshore Primary School Field,828671,Punggol,Punggol,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
FTP-horizon-primary-school-field,Weekend free play at Horizon Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/horizon-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Horizon Primary School Field,828819,Punggol,Punggol,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
SOC-9e5207ac2f21,Discover the Leader in You,Bishan East-Sin Ming Youth Network,cc,https://t.me/bishancc/1171,2026-09-02,respoopu,verified,0,0,0,"Bishan Community Club Seminar Room 1, Level 4",579799,Bishan,Bishan,17,24,yes,yes,yes,short_course,fixed_dates,,,,,,2026-09-08T09:00|2026-09-09T09:00,,explorative,no,"Public organiser post checked; free youth programme, age range, two dates and Bishan CC venue confirmed.",,
NLB-5914786,Verse and Vibes Pop-up: A Poetry Buffet,National Library Board,third_space,https://nlb.libcal.com/event/5914786,2026-09-02,respoopu,verified,0,0,0,"Bishan Library Foyer, Level 1",579841,Bishan,Bishan,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-11T13:00,,artistic|chill,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5912430,Happy Planet! Give Your Tote Bag a Second Life,National Library Board,third_space,https://nlb.libcal.com/event/5912430,2026-09-02,respoopu,verified,0,0,0,"Bishan Library Programme Zone, Level 2",579841,Bishan,Bishan,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-12-05T10:30,,artistic|explorative,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
FTP-ai-tong-primary-school-field,Weekend free play at Ai Tong School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/ai-tong-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Ai Tong School Field,579646,Bishan,Bright Hill,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
WEB-bishan-nature-walk,Self-guided nature walk at Bishan-Ang Mo Kio Park,National Parks Board,informal,https://www.nparks.gov.sg/visit/parks/bishan-ang-mo-kio-park/activities,2026-09-02,respoopu,verified,0,0,0,"Bishan-Ang Mo Kio Park, Carpark A entry",569932,Bishan,Bishan,0,120,yes,yes,yes,taster,drop_in,,,,,,,Open 24 hours; easy 6km route takes about 2 hours,explorative|chill|sporty,no,Official NParks guide checked; free easy self-guided route and 24-hour park access confirmed. Postal identifies the official Carpark A entry point.,yes,yes
WEB-bishan-sport-centre,ActiveGYM session at Bishan Sport Centre,Sport Singapore,activesg,https://www.activesgcircle.gov.sg/facilities/bishan-sport-centre,2026-09-02,respoopu,verified,1.50,0,0,Bishan ActiveSG Gym,579783,Bishan,Bishan,12,120,yes,yes,yes,taster,drop_in,,,,,,,Daily 7am-10pm; check live closures before travel,sporty,yes,Official facility and ActiveSG student rates checked.,yes,yes
WEB-bishan-swim,Recreational swim at Bishan Swimming Complex,Sport Singapore,activesg,https://www.activesgcircle.gov.sg/facilities/swimming-pools,2026-09-02,respoopu,verified,0.60,0,0,Bishan Swimming Complex,579778,Bishan,Bishan,1,17,yes,yes,yes,taster,drop_in,,,,,,,Check current pool hours and closures before travel,sporty|chill,yes,Official ActiveSG swimming-pool directory entry for Bishan Swimming Complex and the ActiveSG rates page checked; conservative weekend child rate used.,yes,yes
WEB-bishan-table-tennis,Table tennis at Bishan Sport Hall,Sport Singapore,activesg,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues,2026-09-02,respoopu,verified,3.20,0,0,Bishan Sport Hall,579783,Bishan,Bishan,0,120,yes,yes,yes,taster,drop_in,,,,,,,Book a live table slot through ActiveSG,sporty|chill,yes,"Official ActiveSG multi-venue table-tennis booking page checked; Bishan Sport Hall appears as a selectable venue, and the citizen/PR peak table rate was used conservatively.",yes,yes
WEB-luggage-market,Browse The Luggage Market at Aperia Mall,The Luggage Market,commercial,https://www.booktlm.com/,2026-09-02,respoopu,verified,0,0,0,Aperia Mall Level 1 Atrium,339511,Kallang,Lavender,0,120,yes,yes,yes,taster,drop_in,,,,,,,Every Sunday 11am-6pm,chill|explorative,no,"Organiser and Aperia pages checked; weekly Sunday thrift market, visitor access, venue and hours confirmed.",no,yes
