listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
FTP-hougang-primary-school-field,Hougang Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/hougang-primary-school-field,,,unverified,0,0,0,Hougang Primary School Field,534238,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 1 Hougang Street 93 Singapore 534238 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-nan-chiau-high-school-field,Nan Chiau High School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/nan-chiau-high-school-field,,,unverified,0,0,0,Nan Chiau High School Field,545079,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 20 Anchorvale Link Singapore 545079 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-punggol-cove-primary-school-field,Punggol Cove Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/punggol-cove-primary-school-field,,,unverified,0,0,0,Punggol Cove Primary School Field,828674,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 52 Sumang Walk Singapore 828674 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-punggol-primary-school-field,Punggol Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/punggol-primary-school-field,,,unverified,0,0,0,Punggol Primary School Field,538787,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 61 Hougang Avenue 8 Singapore 538787 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-punggol-view-primary-school-field,Punggol View Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/punggol-view-primary-school-field,,,unverified,0,0,0,Punggol View Primary School Field,828845,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 9 Punggol Place Singapore 828845 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-seng-kang-primary-school-field,Seng Kang Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/seng-kang-primary-school-field,,,unverified,0,0,0,Seng Kang Primary School Field,545166,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 21 Compassvale Walk Singapore 545166 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-waterway-primary-school-field,Waterway Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/waterway-primary-school-field,,,unverified,0,0,0,Waterway Primary School Field,828802,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 70 Punggol Drive Singapore 828802 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-northshore-primary-school-field,Northshore Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/northshore-primary-school-field,,,unverified,0,0,0,Northshore Primary School Field,828671,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 30 Northshore Drive Singapore 828671 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-horizon-primary-school-field,Horizon Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/horizon-primary-school-field,,,unverified,0,0,0,Horizon Primary School Field,828819,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 61 Edgedale Plains Singapore 828819 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-bendemeer-primary-school-field,Bendemeer Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/bendemeer-primary-school-field,,,unverified,0,0,0,Bendemeer Primary School Field,339948,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 91 Bendemeer Road Singapore 339948 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-blangah-rise-primary-school-field,Blangah Rise Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/blangah-rise-primary-school-field,,,unverified,0,0,0,Blangah Rise Primary School Field,109100,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 91 Telok Blangah Heights Singapore 109100 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-cantonment-primary-school-field,Cantonment Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/cantonment-primary-school-field,,,unverified,0,0,0,Cantonment Primary School Field,088256,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 3pm - 7pm,sporty,yes,zone: Central · 1 Cantonment Close Singapore 088256 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-cedar-primary-school-field,Cedar Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/cedar-primary-school-field,,,unverified,0,0,0,Cedar Primary School Field,349700,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 15 Cedar Avenue Singapore 349700 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-pei-tong-primary-school-field,Pei Tong Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/pei-tong-primary-school-field,,,unverified,0,0,0,Pei Tong Primary School Field,129857,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 15 Clementi Avenue 5 Singapore 129857 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-queenstown-primary-school-fieldqueenstown-primary-school-field,Queenstown Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/queenstown-primary-school-fieldqueenstown-primary-school-field,,,unverified,0,0,0,Queenstown Primary School Field,149303,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm,sporty,yes,zone: Central · 310 Margaret Drive Singapore 149303 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-radin-mas-primary-school-field,Radin Mas Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/radin-mas-primary-school-field,,,unverified,0,0,0,Radin Mas Primary School Field,099840,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 1 Bukit Purmei Avenue Singapore 099840 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-farrer-park-primary-school-field,Farrer Park Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/farrer-park-primary-school-field,,,unverified,0,0,0,Farrer Park Primary School Field,217567,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 2 Farrer Park Road Singapore 217567 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-river-valley-primary-school-field,River Valley Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/river-valley-primary-school-field,,,unverified,0,0,0,River Valley Primary School Field,237993,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Central · 2 River Valley Green Singapore 237993 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
